outcome,species_diversity_index,soil_compaction_kpa,canopy_width_m,nearest_traffic_lane_m,watering_visits_monthly,trunk_diameter_cm,leaf_chlorophyll_index,root_zone_area_m2,summer_heat_days,pest_damage_pct,sidewalk_width_m,night_light_lux
thrives,0.587,227.298,7.223,2.789,4.272,38.903,42.777,9.63,24.106,31.549,3.033,220.403
declines,0.349,223.475,2.348,10.58,0.79,15.912,35.858,2.239,25.171,21.613,1.986,250.841
thrives,0.805,279.85,5.683,4.468,4.308,36.207,41.16,11.417,21.934,14.002,2.432,85.503
thrives,0.607,272.139,6.647,2.242,5.603,33.221,40.646,6.75,33.594,17.137,3.033,199.064
thrives,0.511,252.773,3.662,2.094,3.497,30.388,32.793,4.202,32.502,22.976,1.04,118.101
declines,0.283,347.525,1.895,2.648,0.902,25.055,29.027,3.653,27.023,25.089,2.998,163.77
thrives,0.774,199.481,7.48,6.822,4.56,39.67,45.108,8.401,22.092,8.766,2.263,169.873
thrives,0.443,207.292,7.792,4.494,2.589,41.817,38.78,11.246,22.281,28.084,2.932,217.416
thrives,0.737,164.317,7.491,9.121,3.323,38.703,50.482,7.808,33.588,0.0,3.37,233.259
thrives,0.744,217.528,6.44,5.397,3.192,33.473,49.248,8.599,16.24,27.033,2.694,311.246
declines,0.426,299.311,4.205,4.93,3.683,28.264,33.835,11.11,22.423,31.286,2.673,93.303
declines,0.551,297.01,2.373,5.866,1.258,20.309,29.528,5.667,36.146,29.247,3.168,110.92
thrives,0.781,142.282,7.354,7.196,5.816,50.365,48.207,8.523,19.352,23.036,3.865,76.944
declines,0.356,284.433,3.1,5.401,2.571,24.329,35.868,4.121,21.589,21.008,2.44,160.775
declines,0.72,273.423,6.297,5.474,3.735,33.84,39.567,8.49,20.854,20.546,2.33,37.019
thrives,0.689,262.452,7.082,7.136,3.532,40.75,41.486,10.413,12.205,16.366,2.68,183.092
thrives,0.681,167.283,8.075,8.737,3.314,41.269,41.22,8.213,22.952,15.176,3.903,202.549
thrives,0.511,254.332,4.135,2.989,3.487,25.311,29.436,5.934,36.601,29.323,2.312,110.054
declines,0.392,290.521,5.137,3.646,2.631,31.413,23.633,8.327,20.496,18.797,1.653,231.956
thrives,0.75,186.175,6.749,3.187,3.053,38.778,45.171,8.473,20.348,13.681,2.535,278.898
thrives,0.732,225.295,8.12,7.779,3.353,48.582,46.922,9.746,24.559,12.281,1.849,199.286
thrives,0.579,245.693,5.707,5.851,4.078,35.063,46.491,9.099,35.707,8.515,3.188,210.193
thrives,0.651,279.682,7.735,5.706,3.853,42.921,41.933,7.897,30.451,25.103,3.26,308.756
thrives,0.672,247.763,7.484,7.136,4.072,39.396,48.842,7.84,25.643,5.063,2.522,194.011
declines,0.117,318.895,3.165,2.193,1.241,30.761,22.858,3.676,46.678,36.537,2.48,101.448
declines,0.549,160.317,6.556,5.361,4.543,36.258,45.067,7.825,20.859,20.123,2.787,279.365
thrives,0.554,278.818,5.782,2.496,1.941,31.719,38.634,7.977,32.404,12.109,3.865,114.736
declines,0.35,262.244,1.769,0.3,0.58,19.524,29.856,5.639,27.799,28.773,3.272,203.948
thrives,0.82,201.653,5.013,8.317,5.316,23.761,49.995,8.566,26.133,0.0,2.282,79.039
thrives,0.844,233.265,7.811,7.114,4.876,45.788,45.404,10.302,24.859,0.0,2.847,72.655
thrives,0.648,263.257,7.458,8.78,3.829,40.297,32.077,9.127,31.978,20.906,2.726,139.82
thrives,0.616,167.617,6.997,6.78,5.871,40.654,34.793,7.359,17.985,2.943,1.409,164.426
declines,0.563,266.276,5.005,3.636,2.502,29.262,46.939,10.343,20.162,23.069,2.36,243.074
declines,0.732,170.337,6.43,7.129,2.71,41.54,46.01,9.751,11.196,10.366,2.42,202.895
thrives,0.722,233.452,8.051,6.978,4.702,44.039,53.717,8.233,19.384,1.888,2.473,163.793
declines,0.47,246.629,3.732,1.139,1.124,25.332,29.92,6.496,21.759,33.371,3.216,185.88
thrives,0.666,213.835,4.335,6.484,5.389,26.371,37.903,7.964,20.064,26.171,3.271,90.117
thrives,0.605,205.661,6.491,7.395,4.024,37.651,39.583,7.234,19.857,8.927,2.389,151.744
thrives,0.684,208.741,7.056,7.226,4.852,41.667,36.451,8.722,26.443,20.036,3.042,127.427
thrives,0.535,182.888,6.895,7.736,3.406,40.395,43.203,10.328,18.211,17.043,2.594,144.549
thrives,0.455,205.492,7.204,5.743,2.324,47.463,38.811,8.905,20.448,10.834,2.802,177.449
thrives,0.574,231.777,7.586,5.112,2.579,37.667,49.716,8.76,37.619,19.512,2.816,147.611
declines,0.583,267.48,5.151,5.098,3.316,25.49,44.831,11.852,28.262,23.887,2.363,164.991
declines,0.287,286.095,3.731,9.132,1.634,22.453,30.966,5.959,32.115,31.747,2.54,142.048
declines,0.326,319.267,4.074,4.577,0.0,27.664,33.93,8.209,36.336,23.391,2.636,81.106
thrives,0.322,321.59,3.6,1.335,3.117,23.855,34.859,7.88,32.57,21.139,1.758,95.696
thrives,0.669,174.213,6.594,5.318,3.411,41.47,46.315,10.691,44.092,19.45,3.299,24.21
declines,0.401,265.694,1.772,3.929,3.78,11.398,31.806,7.129,26.679,18.788,2.707,195.055
declines,0.751,254.453,6.284,7.324,3.234,38.133,39.455,7.874,30.267,22.724,2.563,80.527
thrives,0.636,249.953,7.255,7.39,3.33,40.057,38.686,8.393,25.017,11.352,3.598,234.22
declines,0.426,250.2,6.191,5.659,3.603,34.316,42.508,9.422,42.346,9.457,2.634,132.647
declines,0.814,191.006,5.878,5.443,2.948,34.403,43.133,11.263,20.006,8.07,3.436,61.751
declines,0.667,259.213,5.171,5.394,2.746,28.997,42.765,9.863,18.847,8.333,2.811,238.613
thrives,0.782,197.398,6.508,3.947,3.371,37.1,47.407,10.274,29.718,4.019,2.799,247.837
thrives,0.78,242.669,7.027,6.386,1.852,35.828,46.729,6.8,32.143,3.553,3.45,196.669
declines,0.485,242.987,6.517,9.133,1.937,43.354,37.666,7.368,24.386,22.266,3.093,241.299
thrives,0.627,230.407,5.647,1.571,2.034,33.186,40.596,5.699,21.49,13.825,1.951,90.607
declines,0.323,300.68,5.651,4.139,2.149,26.129,40.135,7.119,25.763,26.348,2.027,133.136
declines,0.36,243.351,7.388,5.801,3.737,40.76,38.64,9.248,23.078,22.5,3.595,183.656
thrives,0.778,164.368,7.492,6.823,3.447,32.063,46.249,6.132,22.487,23.164,2.68,128.846
thrives,0.678,217.614,7.52,6.515,4.497,47.708,38.467,11.112,25.723,7.045,2.603,204.323
thrives,0.699,166.803,8.154,5.073,4.219,33.266,42.134,10.592,23.616,12.322,2.609,120.443
declines,0.222,305.499,2.177,3.21,1.563,16.362,26.614,3.529,30.299,37.121,1.707,136.229
thrives,0.615,232.401,8.289,8.939,3.582,40.505,38.534,11.012,23.155,12.582,3.018,125.3
thrives,0.761,134.798,9.369,8.108,6.017,49.044,46.35,9.735,10.294,21.612,2.495,252.421
thrives,0.516,225.297,6.008,6.298,1.075,28.016,46.619,6.855,15.355,27.845,3.411,179.377
declines,0.285,296.456,2.584,6.381,3.46,12.099,28.593,5.643,28.045,34.27,2.373,176.347
declines,0.586,282.181,4.794,3.397,2.922,27.857,29.031,6.958,25.123,27.61,2.223,343.18
thrives,0.811,218.821,6.346,4.059,3.09,32.495,35.367,7.254,13.798,8.324,3.184,235.256
thrives,0.676,168.339,8.125,9.871,4.04,40.606,41.009,9.634,30.941,3.958,2.48,189.062
declines,0.835,225.582,8.175,3.719,4.351,39.29,43.434,8.446,22.918,18.488,2.458,156.358
thrives,0.416,228.553,5.181,6.499,5.106,29.469,35.655,7.376,28.631,18.346,2.931,146.094
thrives,0.733,262.889,7.657,6.217,2.633,40.718,34.661,10.553,22.72,15.391,3.414,259.893
thrives,0.715,302.321,6.439,3.852,4.365,27.492,41.183,7.292,23.108,3.665,3.06,143.046
thrives,0.63,267.866,8.195,3.775,3.306,46.235,44.022,9.094,25.416,24.83,2.244,123.484
declines,0.05,366.359,2.271,0.3,0.775,16.15,23.669,6.056,30.5,37.366,2.176,65.535
declines,0.35,300.823,6.173,0.748,4.413,38.913,36.65,6.624,15.211,29.361,1.887,251.681
thrives,0.507,277.521,4.471,1.05,2.867,23.711,30.927,8.145,34.053,18.518,3.716,100.817
declines,0.542,241.566,3.318,2.196,1.774,24.554,35.649,7.536,18.879,27.07,3.73,254.466
thrives,0.806,222.453,6.622,9.457,4.503,37.395,37.783,8.525,18.376,12.989,2.091,67.193
declines,0.525,274.135,6.387,6.76,3.697,34.717,41.472,6.924,33.181,17.634,2.657,31.319
thrives,0.524,251.661,4.531,4.526,2.154,34.485,43.498,6.486,22.5,20.423,3.004,195.098
thrives,0.627,225.01,3.19,6.014,2.719,29.593,37.027,7.086,22.711,17.019,1.305,162.925
thrives,0.768,225.093,4.684,7.545,4.662,19.422,42.878,5.76,21.895,15.04,2.75,84.559
thrives,0.501,224.304,6.46,5.194,2.967,40.838,46.216,7.816,25.862,18.429,1.89,204.962
declines,0.42,259.827,4.925,4.586,3.377,34.495,31.582,9.514,24.771,21.906,1.692,88.24
declines,0.25,281.218,3.607,0.826,1.875,26.681,24.67,7.653,37.455,23.342,2.222,285.979
thrives,0.69,264.812,5.989,4.978,4.581,36.671,41.905,10.728,27.445,10.498,2.136,263.531
thrives,0.894,195.116,8.102,6.029,2.262,46.244,56.887,8.649,21.227,13.217,3.156,153.757
thrives,0.494,228.556,7.789,10.145,3.377,44.382,47.336,7.492,28.645,14.719,2.954,105.702
thrives,0.745,209.193,5.973,9.422,4.532,36.804,46.881,10.299,21.849,8.179,2.997,197.024
thrives,0.851,201.326,10.623,9.355,4.675,56.943,55.545,10.122,19.706,0.892,3.078,257.382
thrives,0.689,202.015,5.348,3.802,5.87,35.076,46.646,7.227,25.053,7.309,2.851,190.415
thrives,0.625,202.155,7.836,1.409,4.731,47.204,47.042,10.841,30.082,6.045,2.646,148.357
thrives,0.666,210.325,5.196,8.352,4.039,30.865,35.706,8.616,36.537,12.295,3.148,175.713
thrives,0.717,182.864,6.577,5.512,3.866,31.776,49.12,10.438,29.854,7.214,2.45,209.737
thrives,0.678,221.985,6.097,2.493,3.445,24.496,35.682,5.701,30.58,0.0,3.153,41.7
declines,0.317,308.184,4.312,2.205,1.663,24.058,30.256,6.94,30.022,32.82,2.813,254.721
thrives,0.733,247.374,6.484,5.355,3.397,37.737,42.719,9.173,13.488,7.44,2.242,187.317
thrives,0.73,211.41,8.249,5.36,5.706,47.256,50.218,10.116,16.64,8.004,2.736,193.254
declines,0.56,259.439,4.418,10.253,3.381,29.089,42.341,7.341,15.636,15.369,2.956,177.788
thrives,0.424,241.943,4.69,1.175,2.7,29.136,40.752,7.122,18.612,14.606,2.259,133.592
declines,0.441,324.254,4.48,2.305,2.864,29.642,36.652,9.267,14.213,14.82,2.216,127.378
declines,0.384,301.421,4.741,0.441,2.091,28.639,33.579,5.592,33.374,24.304,3.688,93.541
thrives,0.584,229.749,8.406,9.536,3.507,45.572,45.867,8.426,19.902,8.12,2.182,112.761
declines,0.239,312.672,4.387,0.3,0.729,30.74,24.111,8.646,41.53,22.291,2.291,182.554
thrives,0.712,171.596,7.206,6.412,5.085,34.738,52.386,11.167,19.993,9.398,2.191,209.895
thrives,0.586,276.498,4.592,8.033,4.187,24.233,39.067,8.508,8.159,23.841,3.337,191.217
thrives,0.526,233.95,4.541,4.32,3.803,32.894,42.781,7.52,39.224,3.91,1.735,204.676
thrives,0.585,222.118,6.797,6.039,3.62,36.275,53.815,11.933,20.079,25.516,2.928,219.067
thrives,0.404,281.875,4.071,4.288,4.938,25.802,31.773,7.011,21.944,25.939,0.824,253.407
thrives,0.95,180.251,11.166,8.848,6.629,51.748,50.97,10.867,11.188,3.588,1.92,278.72
declines,0.574,221.356,5.601,3.514,2.014,32.008,46.663,7.91,24.158,11.529,2.704,252.428
thrives,0.664,204.174,7.865,4.865,3.527,35.835,43.528,9.677,18.074,8.334,2.263,275.917
thrives,0.678,238.501,7.171,10.191,2.546,42.633,49.89,6.754,22.098,13.869,2.902,229.517
declines,0.294,283.345,4.252,4.103,2.429,28.234,21.76,8.529,22.241,24.432,3.47,270.402
thrives,0.564,172.285,7.464,4.931,3.198,38.96,54.759,11.485,28.336,18.127,2.662,192.368
declines,0.303,305.232,3.728,5.582,3.117,20.871,27.006,5.157,26.736,28.115,1.13,186.309
thrives,0.444,282.828,5.278,3.12,2.825,31.675,37.999,7.269,22.052,27.495,1.271,166.979
thrives,0.723,189.309,8.193,8.137,6.898,50.761,49.173,8.253,25.906,1.241,2.077,183.722
declines,0.388,324.476,2.9,8.109,1.498,19.156,25.35,6.761,34.959,29.736,2.575,98.017
declines,0.368,293.519,5.209,1.406,2.915,35.003,30.344,8.049,33.774,14.747,2.462,142.423
declines,0.308,324.227,1.938,3.483,2.086,22.089,32.705,6.424,19.919,11.237,1.944,121.788
thrives,0.743,216.202,6.483,4.06,5.857,34.318,51.775,5.913,18.224,0.0,1.917,19.055
thrives,0.902,179.695,8.519,9.103,3.164,46.565,45.571,8.501,22.007,3.834,3.007,101.557
thrives,0.556,220.605,4.476,6.825,4.101,29.107,40.815,8.498,24.368,10.417,2.793,138.73
thrives,0.553,202.256,7.591,7.896,5.491,42.366,42.429,11.625,28.781,11.522,2.964,158.634
thrives,0.556,254.505,6.568,2.874,3.921,40.501,38.504,7.214,22.16,15.413,3.014,171.54
thrives,0.649,178.548,6.424,2.879,3.692,30.025,53.549,9.526,23.044,6.64,2.928,316.139
thrives,0.637,187.592,7.594,8.559,4.57,36.395,48.77,9.037,16.536,10.955,2.487,121.12
thrives,0.415,209.036,7.549,8.774,3.403,43.848,37.56,9.096,27.507,25.168,3.081,135.398
thrives,0.91,131.346,11.581,9.159,6.683,60.189,61.118,12.723,17.779,14.785,2.56,206.719
declines,0.437,204.336,3.291,4.325,3.664,23.653,30.214,7.412,21.406,9.662,1.879,255.804
thrives,0.55,217.067,6.896,6.502,4.91,38.173,48.847,6.811,5.99,13.579,2.767,188.021
thrives,0.645,142.245,5.805,1.213,3.524,35.913,47.137,8.865,22.103,11.542,3.83,168.121
thrives,0.751,169.453,8.516,6.017,2.361,38.768,38.738,10.781,21.453,10.953,3.261,182.387
thrives,0.734,169.933,6.357,2.658,5.443,33.032,50.835,8.414,18.161,0.115,2.176,112.381
thrives,0.558,250.951,6.847,7.173,4.272,40.601,45.777,10.011,17.815,0.0,3.207,318.386
thrives,0.69,192.901,8.087,6.069,4.595,42.188,48.381,9.917,18.233,13.779,3.55,221.495
declines,0.345,307.296,4.074,4.775,2.051,22.132,33.007,4.325,29.099,20.697,3.826,202.479
thrives,0.523,255.652,5.755,7.721,1.666,33.204,38.186,10.292,19.288,18.264,2.863,125.406
declines,0.685,215.646,4.687,4.114,5.554,22.992,47.37,5.185,28.26,12.886,2.371,300.465
declines,0.532,333.547,3.736,5.976,3.881,30.092,28.515,4.711,15.444,21.081,3.702,100.5
thrives,0.709,180.05,9.281,5.71,3.67,41.494,48.2,10.38,27.278,8.485,2.313,151.595
thrives,0.576,260.518,6.059,5.563,4.776,35.676,38.387,8.393,23.673,15.191,2.622,47.826
thrives,0.573,214.532,6.756,8.985,3.313,32.444,49.161,10.203,26.752,11.571,4.295,64.914
declines,0.543,181.338,5.689,9.829,1.154,32.996,42.231,5.682,17.767,15.466,1.858,209.325
declines,0.588,201.324,6.255,7.878,3.825,43.557,38.023,10.187,18.251,29.978,2.342,226.709
thrives,0.689,186.923,9.953,7.244,5.64,50.148,60.81,13.493,19.125,9.552,2.515,172.532
thrives,0.618,210.559,7.805,5.457,3.555,42.386,42.761,7.161,24.46,4.183,1.965,147.047
declines,0.382,253.306,4.206,4.814,2.103,21.838,38.786,6.743,29.082,14.32,2.757,216.413
declines,0.641,236.994,6.435,2.748,3.053,39.996,36.393,8.535,42.601,7.189,2.64,181.56
thrives,0.273,212.365,6.687,5.394,1.0,44.527,34.699,8.716,17.86,20.303,2.607,199.965
declines,0.477,256.758,3.189,7.505,1.987,29.261,38.496,4.66,23.437,24.673,3.002,231.666
thrives,0.711,214.763,7.911,8.165,4.043,44.539,51.019,8.27,16.582,20.225,2.259,238.782
thrives,0.62,247.702,7.198,6.634,4.522,37.278,47.024,7.829,27.244,8.578,3.498,139.115
declines,0.239,312.18,4.345,2.999,2.862,22.434,24.174,6.122,31.708,22.32,2.844,97.167
thrives,0.544,191.419,6.042,5.034,3.342,36.944,32.732,8.185,18.805,9.418,3.337,359.055
declines,0.556,202.542,5.166,6.653,4.643,33.457,35.228,9.856,29.847,19.114,2.861,224.294
declines,0.319,274.093,3.849,3.755,2.691,24.235,34.362,5.266,22.035,21.943,2.19,174.279
thrives,0.788,206.931,4.069,7.539,4.581,23.086,41.104,7.927,22.791,16.381,2.807,155.979
thrives,0.599,179.445,7.654,8.428,3.394,42.863,53.805,10.773,23.25,11.085,3.256,110.394
thrives,0.526,210.86,4.329,4.206,2.397,28.598,34.634,8.124,27.418,22.48,1.478,131.722
declines,0.563,261.491,6.255,6.561,5.425,33.334,51.55,8.107,33.216,33.394,3.101,203.301
declines,0.533,296.163,7.362,6.179,4.286,38.0,44.778,9.78,12.776,10.292,2.255,191.533
thrives,0.717,183.435,8.443,8.244,5.456,39.661,52.769,9.473,0.0,11.261,3.725,83.518
declines,0.454,227.689,8.376,4.796,2.092,43.32,39.088,8.25,24.264,14.569,1.732,254.851
declines,0.487,291.409,5.018,3.514,1.487,27.587,26.939,7.194,26.077,24.619,2.331,256.626
thrives,0.364,176.764,8.975,8.749,3.722,52.053,44.566,8.984,19.329,10.305,2.459,72.062
thrives,0.645,257.019,5.938,7.277,3.283,40.142,37.653,9.293,21.594,20.724,3.387,75.755
thrives,0.655,227.832,5.947,9.747,2.99,35.319,43.846,9.911,18.529,12.369,2.834,116.954
thrives,0.792,222.052,8.117,4.579,5.349,39.896,56.644,10.199,12.394,14.843,1.8,73.661
thrives,0.421,257.442,6.289,2.499,2.279,39.13,42.065,6.792,33.974,25.363,2.495,247.264
declines,0.52,279.176,5.971,4.845,4.592,33.942,37.92,7.887,14.964,19.572,2.44,227.563
thrives,0.755,244.228,7.754,4.655,6.034,45.453,44.034,8.761,13.22,7.626,3.104,74.99
declines,0.228,239.605,2.51,3.513,3.197,17.586,32.72,7.421,26.611,23.721,1.818,175.345
thrives,0.35,284.008,6.283,3.238,1.814,32.597,36.365,8.124,30.51,18.116,4.535,113.111
thrives,0.413,201.474,7.036,6.49,2.747,38.846,40.332,6.84,13.261,18.041,1.461,72.089
declines,0.481,271.351,4.526,4.196,2.894,38.313,31.204,8.881,17.976,19.219,2.495,126.702
declines,0.448,204.825,6.207,8.99,2.255,37.858,31.935,10.755,32.892,27.753,2.27,252.292
declines,0.271,262.791,4.367,3.973,1.664,35.595,28.564,9.687,28.016,19.555,1.68,250.753
thrives,0.781,193.938,8.213,6.05,4.713,46.898,54.137,10.01,14.529,5.601,4.301,282.017
thrives,0.548,217.779,7.07,6.821,3.645,38.839,50.372,8.691,10.905,7.218,2.434,27.495
declines,0.498,307.683,5.838,2.923,1.465,35.113,36.339,7.952,27.924,21.708,3.682,289.719
thrives,0.862,221.203,6.482,8.996,4.67,40.719,46.888,6.44,22.669,8.036,1.898,207.47
thrives,0.9,248.178,5.576,5.574,3.95,32.818,45.799,7.409,13.421,11.22,2.21,156.821
thrives,0.416,237.315,3.519,5.902,4.41,30.831,36.682,3.074,18.033,19.68,3.075,250.035
thrives,0.509,206.16,6.011,3.763,4.88,33.275,37.408,9.901,23.862,17.52,2.512,136.766
thrives,0.626,206.31,7.608,8.198,5.833,41.607,49.943,9.843,22.99,2.115,2.373,34.713
thrives,0.551,242.807,7.624,8.941,4.883,41.739,46.822,8.924,24.641,8.056,3.386,202.144
thrives,0.672,206.523,7.965,8.933,1.721,42.995,43.216,8.487,19.408,15.648,4.187,138.779
declines,0.506,269.147,5.305,4.038,2.217,31.24,33.052,9.644,23.218,24.244,4.017,64.562
thrives,0.738,248.262,6.007,4.825,3.585,32.642,32.86,7.037,25.995,10.179,2.763,209.81
thrives,0.618,249.002,5.68,5.603,2.794,30.519,43.345,6.708,21.971,0.0,1.945,57.335
thrives,0.566,257.005,6.053,6.972,1.125,35.831,48.21,8.43,33.937,23.196,3.53,348.22
declines,0.699,259.908,3.262,3.483,4.027,29.943,43.258,5.194,30.191,10.805,2.079,202.497
thrives,0.426,244.999,7.042,8.985,2.942,37.794,39.605,8.46,16.989,16.442,3.058,159.679
thrives,0.533,232.037,8.066,4.867,2.697,49.433,30.862,8.597,29.678,11.163,2.871,0.0
declines,0.128,296.503,3.851,0.3,1.406,25.506,32.552,6.788,32.855,32.125,2.401,127.225
thrives,0.459,271.066,4.593,2.957,3.678,31.808,35.552,8.845,19.418,21.226,2.444,84.921
declines,0.7,249.581,5.949,7.381,3.98,31.814,34.393,10.067,21.17,16.276,1.982,23.141
declines,0.674,265.92,3.259,5.12,1.715,18.895,36.845,7.441,27.333,20.293,3.102,109.518
declines,0.191,254.036,4.209,2.256,0.503,29.475,32.387,7.143,31.437,29.638,1.828,144.588
thrives,0.844,159.21,6.73,5.807,4.938,34.828,51.453,9.7,17.19,5.706,2.475,207.391
declines,0.252,350.379,5.26,0.3,3.438,38.698,25.186,6.298,30.828,28.477,2.766,149.85
thrives,0.476,226.265,6.901,6.907,2.686,33.93,35.441,10.21,28.795,18.172,1.756,106.506
declines,0.379,277.602,5.578,5.533,3.512,33.386,33.886,9.201,27.909,20.148,2.135,183.881
thrives,0.623,187.495,7.689,4.997,5.588,42.705,47.04,9.532,11.469,5.924,2.946,134.489
declines,0.731,188.077,8.127,3.032,2.028,36.584,40.407,12.816,30.074,12.617,2.698,294.1
thrives,0.601,229.765,5.309,4.734,2.207,28.987,40.121,5.311,39.457,28.915,2.113,195.008
thrives,0.873,170.792,8.211,10.473,5.989,44.972,56.848,6.857,19.58,8.396,2.081,42.649
thrives,0.84,174.721,7.216,2.582,4.611,42.155,52.35,9.496,26.831,23.806,2.973,171.346
thrives,0.613,290.008,4.846,2.453,3.171,30.784,37.199,6.529,19.086,31.197,2.815,308.308
thrives,0.558,169.199,6.853,7.136,3.849,35.486,39.456,9.141,10.927,1.422,2.305,219.105
thrives,0.718,203.747,7.133,8.573,2.91,38.681,36.472,10.463,25.427,5.859,2.085,306.668
declines,0.684,222.912,7.482,4.446,3.924,42.363,44.77,9.452,23.653,23.393,3.317,107.828
thrives,0.537,219.529,6.174,3.831,2.967,34.431,52.77,9.469,5.289,14.047,2.781,148.726
thrives,0.787,165.762,8.848,6.644,3.003,49.325,37.674,11.128,25.428,20.066,1.063,173.773
thrives,0.574,264.092,4.945,7.292,3.752,34.265,41.931,7.475,28.586,23.912,2.525,183.877
declines,0.449,336.893,4.309,6.671,3.597,28.202,28.947,7.42,36.069,34.767,2.779,160.376
declines,0.502,273.62,6.929,4.649,2.598,47.149,35.671,9.397,44.114,13.708,3.344,119.302
declines,0.53,269.033,4.49,8.394,3.705,26.941,24.845,9.117,14.294,12.609,3.203,204.314
thrives,0.542,245.138,5.506,1.839,3.627,31.931,35.255,8.144,18.76,16.1,2.158,212.941
thrives,0.9,156.653,9.345,7.722,4.492,45.071,50.083,11.096,13.226,14.297,2.753,153.845
declines,0.509,230.039,5.144,6.118,5.109,36.015,33.53,8.54,24.356,25.334,3.245,201.74
thrives,0.712,236.047,6.691,5.886,3.057,34.881,44.952,9.134,25.356,14.275,2.994,319.194
thrives,0.76,138.546,6.023,3.483,4.374,37.625,35.249,9.578,30.068,22.191,2.638,218.175
thrives,0.323,224.846,5.538,13.043,1.473,30.581,43.621,8.912,20.112,9.392,3.26,345.475
thrives,0.619,234.689,6.964,8.761,4.314,40.109,46.268,10.868,23.798,10.842,3.122,147.165
declines,0.42,233.721,5.277,2.513,1.909,43.408,40.245,10.078,27.135,15.114,1.858,163.307
thrives,0.576,226.467,7.451,6.156,4.034,41.233,34.106,8.159,21.913,4.794,3.257,199.077
declines,0.624,260.323,7.363,4.668,2.576,45.216,38.448,9.957,26.109,18.752,2.329,72.4
thrives,0.753,181.549,8.136,9.387,3.408,41.983,43.554,9.474,17.334,15.142,2.539,319.161
declines,0.594,208.174,5.85,5.822,3.026,32.025,37.827,6.399,20.588,1.432,3.149,231.566
thrives,0.61,174.246,6.624,9.356,5.123,35.963,40.102,8.026,27.969,13.489,1.945,90.981
thrives,0.445,311.363,6.466,3.976,2.329,42.277,42.147,7.428,28.568,18.866,1.957,41.782
thrives,0.552,237.363,7.153,9.484,4.303,36.249,40.405,8.016,13.623,17.922,1.566,185.432
declines,0.425,238.927,6.361,5.538,3.695,38.681,33.551,7.992,27.472,12.523,2.555,97.992
thrives,0.745,141.62,6.606,9.855,5.261,34.129,50.737,8.081,24.995,7.456,2.323,77.54
thrives,0.587,247.763,5.728,2.018,3.396,38.231,35.517,10.535,27.294,5.951,2.959,204.479
declines,0.551,200.966,7.01,9.526,3.657,46.25,44.328,10.82,22.568,25.99,3.049,156.628
thrives,0.528,188.264,8.524,8.448,4.287,46.739,50.742,8.479,31.218,5.052,2.369,169.032
thrives,0.515,244.638,4.84,8.29,3.056,32.053,49.83,11.96,15.805,21.072,2.446,184.937
declines,0.273,278.92,4.482,4.281,2.589,27.926,28.724,8.945,26.117,26.734,2.693,107.065
declines,0.214,291.687,4.973,3.878,2.891,37.047,37.21,5.961,29.667,20.563,1.628,0.0
declines,0.159,331.708,3.014,1.989,2.619,22.092,21.336,6.477,20.266,34.267,1.972,88.688
declines,0.351,330.166,3.253,6.705,2.088,19.017,21.792,7.016,28.867,23.913,2.586,70.33
thrives,0.338,280.808,5.394,4.946,3.411,29.517,31.946,8.703,31.691,27.616,1.909,119.452
thrives,0.665,187.039,7.194,7.425,3.356,38.19,49.27,6.92,23.146,12.29,2.753,189.015
thrives,0.76,248.687,6.833,5.722,3.54,36.624,41.91,11.154,27.221,15.703,2.189,146.586
thrives,0.603,173.708,6.837,7.533,4.443,36.404,46.148,6.836,17.389,18.412,2.733,136.273
thrives,0.536,237.345,6.64,6.123,4.094,38.558,43.722,9.431,27.366,6.172,1.543,86.055
thrives,0.832,172.38,9.223,9.639,4.402,54.354,47.939,10.179,33.034,2.322,2.561,226.374
thrives,0.669,220.088,6.866,5.435,3.837,45.926,44.961,10.359,27.385,20.582,1.977,132.249
thrives,0.766,218.186,7.208,6.004,5.496,41.303,52.494,10.031,28.502,0.0,2.867,225.094
thrives,0.313,246.074,6.027,7.627,4.972,37.36,47.158,9.202,22.359,22.566,2.772,165.123
declines,0.348,262.759,5.163,6.817,1.448,36.099,33.346,4.544,18.661,30.704,3.393,250.794
thrives,0.51,249.33,8.637,4.828,3.196,47.803,40.627,10.359,12.364,1.747,3.183,135.108
thrives,0.66,181.077,7.793,1.924,4.515,44.767,42.751,11.718,26.651,13.973,2.58,167.881
thrives,0.851,151.67,6.954,6.307,6.733,43.032,53.673,6.477,17.865,8.811,2.211,108.763
declines,0.95,132.284,7.277,11.969,4.677,41.099,52.943,8.395,15.184,0.0,3.875,137.899
declines,0.496,253.644,4.036,4.637,2.366,31.161,34.323,6.758,33.323,25.986,2.33,238.471
declines,0.354,310.54,5.642,3.067,2.446,29.948,31.439,8.329,30.549,14.939,1.697,163.248
declines,0.287,240.914,3.841,3.409,2.824,33.233,38.805,7.884,25.874,26.945,2.638,224.594
thrives,0.657,165.967,7.546,6.991,5.012,43.0,42.564,9.328,34.948,0.0,2.973,404.353
thrives,0.68,235.915,7.768,7.977,4.84,43.952,53.071,8.36,27.028,13.884,2.79,197.283
thrives,0.62,244.342,5.22,7.43,3.383,26.31,35.148,4.641,17.896,2.49,2.659,130.906
declines,0.504,339.081,6.351,4.612,1.88,39.554,32.551,9.119,28.474,10.388,3.176,198.832
