outcome,honey_stores_kg,autumn_hive_mass_kg,varroa_mite_index,forager_traffic_per_min,brood_frames,daily_temp_swing_c,queen_age_years,insulation_thickness_mm,hive_age_years,distance_to_water_m,ambient_noise_db,apiary_elevation_m
thrives,24.26,37.25,0.93,54.92,9.05,2.65,1.67,20.72,1.19,237.02,37.55,303.08
thrives,22.65,37.35,0.51,46.89,7.51,6.12,2.52,19.41,6.51,359.36,44.54,598.58
struggles,12.38,29.68,2.56,31.51,7.87,8.35,1.9,12.71,3.95,444.57,43.69,238.86
thrives,19.05,35.22,1.24,40.44,7.58,5.21,2.09,19.03,5.24,294.16,45.42,460.41
struggles,15.14,31.54,0.91,38.41,9.98,7.9,1.32,17.65,4.99,221.28,46.02,364.7
thrives,9.45,27.15,3.28,19.12,3.99,6.41,1.71,17.96,3.27,286.91,52.21,243.33
thrives,18.32,33.22,1.82,41.92,7.82,8.09,1.17,25.51,4.6,298.17,48.64,343.59
thrives,19.76,36.81,0.96,35.74,9.09,7.95,2.47,21.55,4.93,375.88,45.82,317.31
thrives,20.39,35.14,0.71,55.17,7.75,8.44,1.41,24.56,4.64,280.52,29.8,365.51
thrives,15.98,33.46,2.42,33.8,6.94,8.7,1.95,21.71,0.2,417.8,50.45,385.88
struggles,10.07,26.94,2.44,26.28,6.25,11.64,2.81,34.18,6.06,286.1,44.48,210.95
thrives,20.68,36.84,0.0,48.78,10.64,6.78,0.1,16.2,3.19,209.43,37.02,243.74
struggles,12.39,27.9,3.1,28.52,6.83,9.93,1.89,26.87,6.79,249.07,42.2,179.41
thrives,12.61,30.42,3.66,32.01,6.53,11.17,2.3,18.83,0.2,265.26,46.47,348.14
struggles,14.05,30.19,2.91,28.95,6.62,10.47,2.56,17.21,4.96,260.46,37.95,265.92
struggles,16.91,33.62,0.54,45.15,6.78,8.86,1.8,27.18,6.86,125.52,27.3,423.11
thrives,18.2,34.11,2.34,39.52,5.93,8.33,0.8,31.34,6.29,223.35,44.65,193.48
struggles,14.19,31.29,4.03,30.89,8.4,11.16,1.63,25.96,8.33,402.97,51.16,432.13
thrives,13.49,29.11,1.16,35.07,7.43,8.45,0.1,21.85,6.06,379.54,34.41,350.89
thrives,22.46,37.72,2.11,44.36,8.49,10.83,1.96,18.79,7.26,355.27,45.41,539.81
struggles,13.65,31.12,3.16,40.33,7.95,8.16,2.11,32.59,3.5,220.37,55.95,550.16
thrives,13.97,30.62,1.04,35.4,7.66,10.32,2.4,22.42,4.84,289.89,47.77,303.21
struggles,16.69,32.68,1.63,44.68,7.47,10.14,1.76,23.92,5.98,112.18,48.49,418.22
struggles,15.07,28.61,0.59,34.43,7.97,12.26,0.1,26.35,5.55,369.69,51.51,386.36
thrives,20.74,36.83,0.98,51.26,7.55,9.3,1.37,28.06,1.76,352.02,45.67,593.08
thrives,14.23,30.0,2.7,36.55,7.54,5.12,1.65,13.61,8.42,373.02,55.58,479.05
struggles,12.28,27.2,2.07,31.86,6.29,5.46,2.07,26.12,2.34,74.17,56.99,520.91
thrives,18.81,33.76,0.68,43.2,6.31,8.46,1.2,29.75,6.5,271.59,40.45,429.41
thrives,14.61,32.51,2.25,29.07,6.29,9.35,1.71,20.83,5.33,334.49,53.19,647.2
thrives,14.98,29.97,2.52,39.17,6.98,10.49,0.1,20.7,3.21,122.62,51.39,414.15
thrives,13.27,28.79,1.69,29.45,5.13,5.58,1.31,25.93,6.73,343.6,45.55,317.92
thrives,18.48,32.96,0.0,48.67,8.91,10.01,0.1,26.4,6.65,339.41,36.33,190.04
thrives,17.01,30.97,2.65,38.3,6.93,7.31,1.88,10.61,6.05,212.3,51.44,543.88
struggles,13.68,28.24,3.33,22.94,6.97,6.72,2.65,26.84,0.2,214.11,39.51,471.09
thrives,19.4,34.16,0.98,44.84,9.51,1.2,0.1,21.64,6.26,217.07,49.41,390.98
thrives,17.15,31.51,2.22,36.12,6.35,7.22,2.4,19.27,3.13,158.81,52.04,363.87
thrives,14.55,30.36,1.57,36.65,5.76,7.05,2.81,20.49,4.77,334.64,56.39,345.15
struggles,9.69,27.89,3.11,16.64,7.35,10.85,1.37,27.54,3.98,280.34,49.16,468.23
thrives,11.28,28.32,2.0,29.7,5.33,10.75,2.82,23.28,2.12,359.97,54.71,280.49
struggles,8.1,24.35,3.25,27.44,4.5,12.73,2.94,23.55,3.41,406.88,59.33,478.56
struggles,12.11,27.04,2.26,26.8,5.06,6.94,1.88,26.1,7.08,167.09,49.08,470.24
thrives,18.67,32.36,1.59,37.11,5.85,14.24,0.34,12.56,6.56,342.39,59.72,416.34
thrives,12.72,27.72,3.09,35.26,5.25,8.43,1.9,19.88,0.2,244.68,46.44,541.37
struggles,12.76,29.07,1.54,29.52,6.61,4.97,2.5,15.24,4.63,309.36,47.39,389.54
thrives,16.24,29.83,3.21,38.92,7.15,11.78,2.91,14.58,3.39,224.09,48.68,288.58
thrives,12.13,28.7,2.15,33.11,7.71,9.44,1.62,20.72,9.16,237.89,39.5,382.96
thrives,15.27,31.9,2.36,37.43,7.33,7.6,1.17,22.96,4.56,235.86,46.01,529.75
thrives,14.44,29.58,2.92,34.18,7.75,6.36,2.76,17.65,2.02,368.93,38.11,524.28
thrives,12.28,28.12,3.46,30.3,6.0,10.62,1.74,22.87,3.89,70.13,52.26,412.26
struggles,13.98,27.85,3.84,37.57,5.88,6.23,1.69,19.53,3.76,445.43,57.48,442.87
thrives,19.07,34.79,0.17,42.77,8.05,3.77,2.03,20.42,5.99,305.08,54.51,318.59
thrives,16.37,30.15,1.98,44.38,7.46,6.39,1.1,19.33,5.12,143.62,44.02,381.59
thrives,16.51,31.16,2.22,40.31,8.64,6.07,1.43,8.37,4.34,188.98,48.86,646.37
thrives,14.14,28.89,1.42,43.34,7.75,7.59,0.94,25.2,3.45,321.11,40.15,389.78
thrives,19.69,33.39,0.23,43.71,6.96,9.61,1.58,18.63,1.39,282.65,50.63,501.12
thrives,14.5,31.5,2.48,37.77,6.22,10.22,2.93,23.76,5.67,262.8,42.05,407.92
thrives,12.62,28.95,4.17,27.84,4.46,12.28,0.1,14.49,4.51,286.01,41.48,448.54
struggles,15.89,31.21,2.26,35.84,6.58,10.07,1.64,19.07,5.27,384.66,48.47,402.0
thrives,16.86,34.1,3.42,37.36,8.18,7.95,1.77,25.63,5.59,367.98,53.29,351.88
struggles,14.06,30.01,1.93,31.67,6.53,9.5,1.89,22.61,8.03,379.06,45.97,463.65
struggles,14.23,28.89,4.25,28.95,4.81,8.3,1.88,11.04,5.87,178.4,49.64,493.79
struggles,9.44,26.55,4.81,22.04,4.94,11.2,2.59,20.92,4.49,331.73,48.61,113.62
struggles,13.47,27.18,2.53,36.45,6.66,10.29,2.5,23.95,8.48,268.89,49.54,515.04
struggles,8.08,22.63,3.39,27.58,6.61,9.07,3.19,25.52,6.85,198.36,49.3,454.94
struggles,9.82,26.92,3.21,18.72,3.13,10.17,3.47,20.88,6.12,313.12,55.59,642.74
thrives,13.41,29.96,1.51,36.34,8.09,10.55,2.0,24.84,7.78,364.46,35.03,575.53
thrives,19.0,34.1,2.67,48.76,8.37,8.27,1.92,26.37,3.18,240.45,38.94,303.62
struggles,11.19,25.96,2.39,39.29,7.31,10.28,3.92,28.5,4.66,354.91,55.88,340.91
thrives,18.32,35.23,1.52,43.63,7.16,3.26,1.44,25.26,3.69,339.58,57.88,410.62
thrives,21.06,35.68,0.82,59.03,10.2,7.54,1.93,23.2,4.18,312.7,46.43,615.24
struggles,12.09,29.09,2.96,32.08,7.01,12.42,2.12,26.57,2.54,163.42,38.77,390.77
thrives,20.84,34.18,2.19,45.23,10.04,12.24,0.55,22.28,9.41,303.89,47.23,373.6
thrives,13.91,29.09,3.3,44.28,5.51,7.0,1.68,24.06,4.53,296.63,52.14,505.44
thrives,24.32,38.46,0.25,50.6,9.73,10.72,2.34,12.93,8.69,227.39,49.73,295.61
thrives,19.68,35.14,1.51,47.72,7.24,3.36,1.41,19.57,5.57,189.67,43.36,494.55
struggles,9.27,24.2,3.96,27.11,5.79,8.48,2.78,18.67,1.89,192.88,32.84,429.65
thrives,7.74,23.65,4.79,25.81,4.23,12.44,0.91,26.43,6.58,309.36,50.29,524.9
struggles,8.57,25.13,4.88,18.8,4.58,12.44,2.06,21.4,5.23,299.34,47.78,457.03
struggles,15.63,30.57,3.42,33.02,5.91,15.08,4.23,20.6,0.2,107.72,47.06,360.84
struggles,14.22,28.16,1.84,29.82,8.03,5.55,1.31,17.62,4.65,232.45,46.84,698.21
thrives,13.97,27.88,1.89,30.78,6.49,9.59,0.91,21.86,7.1,234.42,47.41,408.71
thrives,17.28,33.56,2.69,33.64,7.44,8.57,1.51,21.97,7.34,231.58,46.0,368.38
struggles,14.34,28.57,2.83,39.03,5.06,9.09,2.34,17.02,3.62,340.83,41.04,327.92
struggles,11.59,28.52,3.92,32.44,6.02,11.15,2.25,20.57,1.07,208.52,37.7,477.7
thrives,20.87,35.72,0.91,54.88,10.13,5.42,1.42,26.08,4.46,417.69,47.33,321.04
thrives,18.91,36.48,1.72,42.87,9.1,5.7,0.45,14.92,3.81,243.89,42.32,609.66
struggles,14.94,31.22,2.91,37.93,7.76,9.89,0.46,30.02,7.47,218.17,60.05,580.03
struggles,12.74,31.38,2.23,34.66,5.61,11.25,3.41,21.44,5.72,220.23,36.52,186.38
struggles,4.24,21.2,5.17,19.61,4.74,9.03,2.92,13.68,2.53,324.81,62.2,601.91
struggles,13.3,28.3,3.67,32.88,7.43,8.01,1.09,26.33,8.58,248.11,48.33,449.78
thrives,16.02,29.75,2.11,30.7,8.24,7.2,1.11,24.6,2.56,198.23,49.6,560.1
struggles,8.32,24.17,5.35,27.77,3.4,13.87,1.53,18.46,4.59,263.15,46.01,408.28
thrives,13.45,29.75,3.83,31.77,6.39,7.76,2.27,22.07,4.23,240.03,38.7,771.66
struggles,15.13,30.05,1.8,39.23,9.38,4.57,1.43,23.02,1.7,311.76,48.26,495.73
thrives,17.04,33.76,1.79,49.27,10.22,10.34,1.69,25.58,4.58,248.94,45.23,411.22
struggles,7.37,25.3,2.45,26.09,5.36,11.77,0.29,18.97,9.51,256.2,43.35,334.03
struggles,13.23,28.69,0.85,31.57,8.5,7.05,2.92,22.86,7.45,263.14,50.29,388.26
thrives,17.26,32.8,2.16,38.34,8.58,9.06,0.6,15.33,6.55,176.71,55.5,605.99
struggles,12.78,31.55,2.76,44.23,7.37,10.65,1.87,20.04,2.45,311.83,47.07,644.79
thrives,11.6,27.65,2.49,28.21,4.44,8.22,3.43,16.61,10.02,221.74,44.34,318.08
thrives,22.17,37.42,0.09,50.22,8.33,7.32,2.29,31.02,9.36,248.12,45.87,392.01
struggles,5.79,24.98,4.58,13.48,2.45,12.58,2.16,18.72,6.47,346.89,45.87,229.44
thrives,17.67,32.3,0.35,45.95,7.59,12.04,0.1,16.63,9.16,260.35,50.45,302.77
thrives,17.98,33.56,1.68,42.99,8.01,7.41,2.02,26.87,0.2,301.91,44.86,321.98
thrives,17.88,32.74,1.55,37.39,6.3,3.77,1.93,15.01,4.85,319.52,37.36,396.04
thrives,10.56,28.17,3.18,27.12,6.9,12.04,1.13,17.71,9.04,333.2,40.68,380.96
thrives,14.14,28.1,3.08,40.25,6.28,11.25,2.91,18.76,2.58,152.11,42.27,700.89
thrives,17.78,31.08,1.74,36.47,7.56,12.66,2.52,20.59,3.01,257.89,44.27,419.39
thrives,15.54,30.94,1.07,36.11,7.0,6.96,1.71,18.99,3.05,162.45,54.41,297.14
struggles,11.94,26.19,2.7,41.01,7.63,13.55,1.18,19.52,4.17,176.02,31.69,131.85
thrives,16.07,34.57,1.59,31.95,8.76,5.59,2.59,22.01,4.71,322.58,51.45,330.89
struggles,11.02,27.1,3.76,22.92,4.54,10.91,3.48,23.51,5.92,195.95,50.63,679.78
thrives,16.59,33.08,1.93,38.84,7.91,7.45,1.64,25.33,7.8,387.81,52.26,446.85
struggles,12.4,28.22,3.16,26.06,3.13,9.37,4.18,17.29,5.47,342.41,46.12,398.04
thrives,17.5,32.38,1.22,38.32,6.59,3.2,1.26,18.27,6.5,194.4,39.08,447.47
thrives,17.16,30.03,2.01,36.33,5.41,7.98,2.48,20.58,4.92,274.62,50.15,716.16
thrives,17.8,34.5,1.06,41.83,6.23,12.33,1.51,24.5,5.27,258.57,40.3,370.32
thrives,22.55,37.78,1.76,53.53,8.57,8.83,0.88,12.18,2.45,216.87,35.05,572.32
struggles,7.81,25.54,4.77,24.43,5.51,5.35,2.94,22.0,3.72,320.59,43.27,723.11
struggles,5.54,22.74,6.02,19.75,1.93,12.11,1.97,23.36,0.2,202.43,52.22,289.74
struggles,11.91,30.14,3.56,29.42,7.02,6.79,2.4,24.15,7.09,231.46,51.33,629.01
thrives,11.09,26.62,2.76,33.65,4.65,10.57,2.64,14.86,3.97,176.17,53.33,476.33
struggles,12.83,28.0,2.11,35.42,4.12,10.74,3.68,11.6,3.43,244.36,40.21,646.45
thrives,15.56,32.37,1.94,37.88,8.23,3.46,2.0,19.29,2.38,388.31,48.83,532.16
thrives,17.92,35.53,1.9,39.41,7.06,8.33,2.06,20.77,7.1,226.91,48.25,436.67
struggles,10.58,26.72,1.78,29.26,4.26,8.48,2.68,22.63,4.13,323.71,37.61,447.64
struggles,9.64,26.13,3.87,22.82,3.8,9.92,3.28,24.65,3.15,259.12,39.65,264.07
struggles,16.57,33.28,2.64,34.41,5.76,6.61,2.06,13.14,4.8,201.26,34.04,181.83
thrives,11.46,27.33,2.23,30.0,5.74,10.1,0.79,20.53,7.48,383.93,40.88,237.05
thrives,14.86,32.52,2.07,37.79,8.2,7.78,2.03,24.68,7.76,202.72,41.87,381.0
thrives,21.76,36.5,1.12,39.46,10.22,8.97,0.83,28.84,2.38,281.81,39.73,316.81
struggles,15.75,30.95,2.5,28.41,6.66,8.24,2.26,31.51,6.36,332.59,34.34,281.94
thrives,21.29,36.43,1.67,36.08,7.39,10.86,0.4,22.43,4.89,375.49,53.95,413.07
thrives,18.41,34.97,0.39,50.25,7.56,12.27,0.53,15.14,5.64,201.23,39.62,420.47
struggles,8.83,24.01,5.18,28.62,4.7,12.14,0.79,23.69,1.63,365.33,40.92,405.91
thrives,9.82,27.12,3.52,14.68,4.95,11.98,1.95,20.39,6.49,89.4,46.7,392.48
thrives,12.11,28.93,3.34,33.78,5.11,10.57,2.68,25.99,6.7,399.84,45.92,673.46
thrives,20.24,37.57,0.0,46.66,8.15,7.06,0.84,26.85,5.63,408.77,51.45,387.3
thrives,17.08,30.25,1.58,32.49,6.98,9.35,0.89,18.8,5.72,284.14,51.15,224.55
thrives,17.39,31.71,2.05,36.66,4.74,8.94,1.43,28.47,6.2,211.74,52.45,421.55
thrives,20.62,36.67,0.48,46.6,8.02,6.27,2.02,24.7,8.35,113.34,49.54,497.03
struggles,8.37,26.16,3.97,19.76,3.54,11.49,1.61,16.77,3.97,227.38,43.99,487.02
thrives,15.19,31.21,3.03,25.95,7.64,11.26,2.73,24.33,6.94,213.58,38.32,539.35
thrives,15.81,31.14,0.05,48.97,8.35,5.32,1.21,21.82,4.35,375.35,40.57,559.75
struggles,17.08,31.69,3.54,35.85,6.54,8.93,1.94,31.04,6.69,124.05,37.51,355.5
thrives,16.67,31.61,1.42,38.49,7.54,8.29,2.54,17.54,2.42,278.6,49.8,303.36
struggles,10.98,27.65,2.61,25.38,6.63,9.05,1.79,20.0,4.47,194.25,58.81,387.49
struggles,8.65,24.3,3.35,19.13,3.72,11.5,3.8,18.69,6.17,193.14,40.78,453.83
struggles,7.04,25.36,5.31,18.81,4.54,12.57,2.6,25.12,2.11,222.12,51.66,398.79
struggles,10.68,27.0,3.1,31.5,5.98,7.94,2.08,15.54,3.79,162.29,48.39,357.49
struggles,8.93,25.95,4.46,21.93,4.36,7.91,0.34,18.34,3.83,230.44,55.87,571.4
thrives,14.79,30.61,2.44,25.0,6.09,8.08,1.22,13.97,8.09,155.76,50.34,291.62
thrives,24.03,39.68,0.0,43.81,11.0,6.14,1.83,26.0,3.06,197.92,55.22,459.22
struggles,10.86,28.86,2.72,23.14,5.44,10.6,2.24,18.87,4.81,324.97,49.71,313.43
thrives,20.96,35.97,0.0,45.58,9.88,5.12,1.58,4.0,3.93,181.37,51.15,244.13
struggles,9.24,26.2,3.77,26.29,4.22,6.36,1.63,29.43,4.81,295.65,54.65,683.26
struggles,8.63,24.45,4.44,23.59,4.24,9.11,2.44,22.88,1.74,262.64,34.95,389.7
thrives,16.92,30.74,2.44,31.61,7.64,7.42,1.68,16.44,10.82,305.53,42.38,233.24
thrives,21.54,36.66,0.58,58.03,9.64,8.98,0.1,21.89,7.04,333.52,42.29,262.5
thrives,14.53,29.18,1.52,40.9,8.18,9.3,1.54,20.37,8.44,262.59,46.4,412.57
thrives,17.87,33.34,0.78,51.95,8.09,4.54,1.86,24.94,5.82,200.67,47.7,323.3
thrives,15.03,31.52,1.7,32.41,5.1,8.85,0.99,21.68,5.23,230.13,53.53,354.07
struggles,9.61,26.03,3.28,28.25,3.52,7.4,3.09,15.86,3.03,368.15,47.39,354.56
thrives,17.29,31.54,2.76,38.78,9.13,7.91,1.47,17.21,8.58,244.33,43.58,433.4
struggles,9.46,25.81,5.99,16.52,3.9,10.07,1.51,26.65,5.6,316.66,32.9,490.77
struggles,13.47,28.53,3.12,30.12,4.9,6.84,1.46,19.57,5.34,347.95,45.9,544.63
thrives,24.25,37.63,1.8,57.69,10.09,6.5,2.22,23.42,0.46,151.5,62.6,532.95
struggles,14.75,30.35,2.66,33.31,5.21,10.06,1.9,23.11,3.31,139.03,47.8,335.1
thrives,13.27,30.12,3.22,28.5,7.4,10.01,2.89,25.63,5.41,270.34,36.11,179.06
thrives,12.78,28.94,2.45,31.81,5.68,12.13,1.09,28.07,3.92,234.12,51.13,402.56
thrives,20.49,34.08,0.24,50.72,9.22,8.23,1.9,32.47,8.63,347.63,52.03,697.31
thrives,28.62,44.06,0.42,65.26,11.79,7.85,2.21,22.85,2.36,366.04,36.71,392.76
thrives,17.57,33.61,2.43,35.99,6.17,9.97,1.1,26.72,7.21,246.84,43.69,453.6
thrives,16.99,34.84,3.47,41.59,7.37,7.04,2.55,5.4,6.0,204.73,37.04,487.58
thrives,17.82,31.64,1.99,35.5,6.05,8.98,2.33,17.02,0.2,252.95,66.08,375.7
thrives,12.98,28.3,2.28,29.44,5.59,12.99,0.83,28.2,2.96,205.31,33.1,280.92
struggles,8.7,24.42,3.02,29.93,6.2,4.23,2.07,16.73,8.13,212.05,50.19,271.34
thrives,19.92,31.86,3.28,42.41,6.23,5.85,1.35,26.41,7.26,448.66,49.22,351.3
thrives,15.69,30.12,1.65,43.87,8.21,9.01,1.97,47.46,3.31,346.49,54.11,430.15
thrives,14.8,31.41,3.38,31.89,2.65,12.96,1.56,20.47,4.52,198.84,37.69,467.39
thrives,23.43,39.11,1.55,55.3,9.8,10.98,2.36,11.58,0.31,382.31,46.5,486.47
struggles,10.7,27.84,3.96,26.78,3.72,8.8,2.44,21.96,0.75,264.67,41.8,407.47
thrives,9.65,27.4,4.37,19.57,3.81,10.57,1.65,19.49,4.81,421.44,55.6,518.82
thrives,20.91,35.9,0.75,38.77,7.42,8.93,0.51,31.64,4.1,351.08,40.06,611.2
thrives,20.6,34.5,0.11,49.82,8.68,10.86,2.67,24.81,4.87,303.94,39.36,489.92
thrives,17.88,33.48,2.23,54.05,7.43,7.37,0.47,17.65,6.18,311.66,38.82,516.37
thrives,15.24,31.26,1.92,39.42,7.88,14.04,2.15,14.16,3.82,439.84,36.08,475.32
thrives,13.39,29.62,2.6,34.4,6.7,5.49,1.41,34.73,7.87,240.96,43.97,310.92
struggles,11.18,27.49,2.38,28.48,6.3,9.36,1.82,31.05,6.55,289.57,52.67,500.67
thrives,15.39,30.0,1.52,40.45,6.8,6.55,1.65,21.08,5.91,232.89,48.74,108.78
thrives,12.17,28.14,2.18,44.62,4.14,8.57,0.95,22.95,3.42,175.27,46.11,436.78
struggles,14.2,31.55,3.42,35.35,6.13,10.92,3.2,31.1,0.54,389.26,65.03,589.78
thrives,17.73,30.48,2.61,32.18,5.45,8.33,0.16,24.01,3.68,218.08,34.82,337.88
thrives,21.72,36.16,0.56,52.51,11.41,5.14,0.1,19.67,6.62,247.79,47.51,324.66
struggles,8.68,24.76,2.96,38.75,5.8,6.86,2.5,21.83,6.23,238.12,39.05,482.82
struggles,8.0,23.94,5.06,23.78,5.19,8.88,2.16,20.19,7.51,235.54,40.83,712.91
thrives,14.7,28.53,1.14,24.63,7.54,10.5,1.39,20.41,9.28,204.48,49.75,536.49
struggles,14.59,29.43,1.81,36.37,6.74,9.54,1.17,36.34,4.7,269.03,50.14,573.79
struggles,14.08,29.76,1.2,39.04,6.58,9.67,1.11,25.5,3.69,171.71,51.05,425.35
thrives,12.81,28.04,3.61,36.18,6.36,11.15,1.11,27.21,4.17,203.69,45.81,364.41
thrives,18.3,32.8,0.39,48.27,7.45,7.71,1.82,24.02,5.91,311.56,46.06,447.38
thrives,26.49,40.23,0.0,61.92,9.65,6.0,1.72,12.18,0.98,261.33,54.21,444.98
thrives,15.57,30.04,2.11,40.92,5.95,5.96,0.11,19.66,3.97,297.5,33.68,253.63
thrives,18.98,34.71,2.46,34.1,6.38,8.49,1.12,21.5,8.61,172.22,52.4,437.05
thrives,12.76,29.25,2.26,34.84,8.57,11.67,2.18,31.11,1.74,295.81,31.6,360.89
struggles,16.34,31.3,1.74,32.81,7.51,8.07,1.02,20.13,4.41,254.82,51.53,623.93
thrives,13.28,29.56,2.48,28.95,5.63,9.93,0.88,13.53,2.35,349.85,54.37,320.17
thrives,18.86,33.86,1.36,29.74,6.12,6.68,2.84,18.75,5.63,361.26,55.35,326.76
thrives,16.48,33.32,0.54,33.98,7.43,9.14,2.1,22.08,5.66,315.99,49.33,276.02
struggles,7.62,23.32,3.51,35.43,4.99,10.96,0.86,21.75,4.65,93.39,42.78,510.55
thrives,10.81,25.44,3.33,20.18,5.29,8.21,2.5,16.26,1.7,157.12,40.57,404.0
struggles,13.15,29.43,2.75,32.08,4.75,6.36,2.24,39.18,6.78,294.94,41.31,673.88
thrives,16.59,32.12,2.92,34.71,6.88,11.93,3.11,13.8,4.58,281.3,37.37,797.06
thrives,12.99,29.9,1.4,35.65,6.6,10.94,1.07,22.63,3.58,207.52,48.98,368.9
thrives,24.97,40.25,0.0,46.43,8.79,6.73,1.62,15.03,4.44,348.43,50.79,485.86
thrives,20.06,36.97,0.37,42.5,7.75,9.07,1.82,32.4,0.2,173.38,39.96,331.44
struggles,7.84,25.5,4.61,19.11,5.64,6.32,1.41,18.87,9.37,385.2,47.11,412.12
thrives,18.52,35.51,1.21,46.4,9.55,8.23,2.13,18.91,5.21,308.04,50.69,459.05
thrives,19.5,35.7,0.0,53.4,9.86,7.78,0.27,28.66,6.1,196.03,41.46,273.34
struggles,9.24,25.76,4.51,24.01,6.23,14.64,1.63,22.63,6.85,45.77,34.5,376.88
thrives,14.09,30.03,2.82,40.55,8.14,9.71,1.99,25.31,1.06,126.35,43.22,102.04
thrives,16.22,30.78,2.15,44.04,6.37,10.98,1.71,15.99,2.79,312.04,44.48,398.34
struggles,12.85,28.55,2.31,29.23,7.95,6.29,2.09,20.89,6.05,300.68,58.54,289.73
thrives,14.07,28.45,2.06,45.85,5.83,8.85,2.15,25.03,7.28,420.55,52.13,525.45
thrives,19.34,33.43,1.6,45.59,9.06,9.49,0.15,27.11,4.99,392.38,54.73,362.6
thrives,16.27,29.72,1.6,43.3,7.97,7.59,1.0,14.85,0.69,125.64,36.23,487.28
thrives,10.36,26.65,4.24,25.81,5.15,11.67,2.23,17.49,7.03,192.93,45.2,577.22
thrives,12.04,27.12,1.95,45.39,6.33,9.95,2.56,23.91,8.07,274.45,43.65,796.87
thrives,14.25,28.0,2.35,35.59,5.83,9.91,2.3,8.03,6.85,199.88,44.42,458.44
thrives,20.02,36.23,1.51,38.25,6.87,9.59,1.0,22.32,2.87,243.7,48.59,313.97
thrives,24.71,39.36,0.0,56.68,8.84,7.91,0.47,23.6,6.83,248.81,35.48,496.97
struggles,19.47,34.98,2.01,38.29,7.04,8.52,0.94,25.47,6.54,191.51,45.81,672.03
thrives,15.08,28.41,2.89,33.72,5.02,9.25,1.32,19.09,2.32,316.16,48.34,426.48
thrives,15.88,30.86,1.2,40.81,7.69,10.48,2.62,15.34,5.16,234.1,54.51,367.92
thrives,17.25,31.73,2.04,47.13,8.21,7.89,2.47,25.84,4.06,242.77,40.91,485.41
thrives,15.87,31.35,2.12,45.33,6.28,7.84,1.95,25.5,5.6,48.96,43.46,406.63
thrives,17.5,32.27,0.0,48.2,7.39,7.76,1.11,13.26,6.62,367.56,43.83,327.75
thrives,18.41,35.58,0.68,45.18,8.26,6.19,0.1,20.6,5.65,65.53,46.14,448.13
struggles,14.03,29.0,4.22,37.76,7.99,11.62,3.08,23.67,9.28,304.67,47.39,444.93
struggles,9.03,24.98,4.65,24.61,5.88,8.82,2.59,18.57,6.75,245.14,43.81,308.54
thrives,20.12,35.21,1.15,53.05,9.69,4.4,1.94,21.36,2.45,250.34,53.4,462.28
thrives,15.69,28.83,1.85,42.07,7.82,8.17,1.32,14.8,3.9,560.71,52.35,347.04
struggles,13.32,28.97,2.79,40.31,6.37,9.4,1.5,12.53,6.08,258.12,42.49,539.12
thrives,21.64,34.89,0.66,45.26,8.28,6.31,2.04,24.38,6.23,183.44,44.04,290.03
thrives,19.33,33.76,1.38,41.74,6.01,5.35,0.7,30.31,1.77,206.38,42.3,393.47
struggles,17.34,33.12,1.27,44.2,6.23,8.53,0.1,14.22,3.14,135.02,41.86,417.49
thrives,17.38,31.1,2.87,36.18,9.15,9.14,2.37,23.87,9.5,255.04,62.09,196.71
struggles,15.71,31.51,2.14,35.39,7.3,9.32,0.27,16.88,3.01,214.96,41.24,314.63
struggles,12.34,28.01,4.47,35.79,6.39,9.4,2.5,28.09,7.24,342.48,46.69,306.73
thrives,15.83,33.53,2.99,44.29,6.67,7.6,0.79,4.0,4.49,292.71,48.95,374.75
struggles,8.5,23.97,5.5,15.62,3.38,13.02,2.34,22.19,4.31,141.71,46.15,459.69
thrives,17.09,30.21,1.07,34.83,7.57,10.87,2.61,24.01,7.54,255.22,52.17,606.71
thrives,17.31,34.25,0.0,40.63,5.99,8.68,3.13,16.1,6.54,367.44,50.31,460.71
thrives,14.98,30.59,1.22,36.26,6.7,11.64,0.58,24.1,4.43,281.5,49.55,471.21
thrives,24.05,40.3,1.18,55.35,9.06,6.47,0.53,15.86,4.2,282.46,52.21,429.96
thrives,14.82,28.06,1.5,36.4,6.82,11.49,3.37,19.29,6.1,442.47,52.73,434.8
thrives,13.39,28.3,1.57,42.79,7.67,12.59,1.86,29.03,2.43,213.29,44.88,411.06
thrives,18.55,33.19,0.63,47.97,9.7,3.47,1.45,26.16,7.74,285.69,55.86,227.62
thrives,16.83,31.87,0.84,47.8,7.83,8.88,1.4,21.86,4.37,387.3,36.32,277.34
struggles,10.83,29.27,3.68,32.38,3.15,7.52,1.13,15.05,6.4,426.67,51.16,299.43
thrives,18.88,31.96,3.1,39.8,7.69,9.44,0.1,24.38,3.53,234.15,37.63,442.83
struggles,11.26,28.97,4.74,28.81,5.89,13.36,2.73,22.18,3.13,324.32,41.33,340.86
thrives,15.86,31.21,2.11,38.17,7.68,11.8,2.39,24.89,2.68,133.71,55.23,315.58
struggles,19.37,33.21,3.31,40.88,9.15,3.59,2.44,30.13,4.42,165.68,40.63,338.94
thrives,14.43,32.11,3.11,41.6,7.74,8.09,3.08,15.2,5.24,177.67,52.52,201.34
thrives,12.83,29.49,1.35,40.48,5.27,7.07,1.94,23.69,4.86,282.91,47.45,283.39
struggles,12.12,26.72,3.06,23.67,4.17,10.58,2.64,13.94,5.83,315.34,34.31,430.19
